KEY,VALUE,DESCRIPTION
1,HKD_HKPAR,
2,SGD_HKPAR,
3,USD_HKPAR,
4,CNY_HKPAR,
5,HKD_MOPAR,
6,SGD_MOPAR,
7,USD_MOPAR,
8,CNY_MOPAR,
9,HKD_HKUL,
10,SGD_HKUL,
11,USD_HKUL,
12,CNY_HKUL,
13,HKD_HKNPAR,
14,SGD_HKNPAR,
15,USD_HKNPAR,
16,CNY_HKNPAR,
17,HKD_MONPAR,
18,SGD_MONPAR,
19,USD_MONPAR,
20,CNY_MONPAR,
21,HKD_HKPLG,
22,SGD_HKPLG,
23,USD_HKPLG,
24,CNY_HKPLG,
25,HKD_MOPLG,
26,SGD_MOPLG,
27,USD_MOPLG,
28,CNY_MOPLG,
29,HKD_HKFOD,
30,SGD_HKFOD,
31,USD_HKFOD,
32,CNY_HKFOD,
33,HKD_MOFOD,
34,SGD_MOFOD,
35,USD_MOFOD,
36,CNY_MOFOD,
